Site_ID,Zone,State_UT,Circle,City,Site_Cluster,Site_Type,Site_Criticality,Customer_Base,Power_Backup,Primary_VendorTech_ID,Sampling_Weight,Sampling_Probability
SITE0062,Central,Uttar Pradesh,UP,Lucknow,Lucknow,Urban,Tier 2,7308,Grid,4,1.9930750416833691,0.002172038896368847
SITE0063,East,Odisha,East,Rourkela,Bhubaneswar,Rural,Tier 3,555,Solar,8,0.057051993346153025,6.217485346590753e-05
SITE0064,North,Himachal Pradesh,Upper North,Dharamshala,Shimla,Urban,Tier 2,6625,Hybrid,1,1.806803797366218,0.001969041829288945
SITE0065,West,Gujarat,Gujarat,Ahmedabad,Ahmedabad,Urban,Tier 2,5637,Hybrid,9,1.5373513970948485,0.0016753945345964957
SITE0066,North,Uttarakhand,UP,Haldwani,Haldwani,Semi-Urban,Tier 3,1742,Grid,6,0.25581614519690754,0.00027878660164121216
SITE0067,North,Punjab,Upper North,Amritsar,Amritsar,Urban,Tier 3,3509,Hybrid,1,0.6698946667880212,0.0007300464068350846
SITE0068,West,Maharashtra,Maharashtra,Pune,Mumbai,Rural,Tier 3,618,Grid,6,0.06352816556382446,6.923253953501056e-05
SITE0069,Central,Uttar Pradesh,UP,Kanpur,Lucknow,Urban,Tier 1,12736,Grid,10,4.862797649593753,0.005299442027615639
SITE0070,West,Rajasthan,Rajasthan,Jaipur,Jaipur,Rural,Tier 3,479,DG,1,0.04923946813118432,5.366081947778326e-05
SITE0071,North,Haryana,Upper North,Hisar,Hisar,Semi-Urban,Tier 3,1312,Hybrid,5,0.192669794775168,0.00020997016151163623
SITE0072,Central,Chhattisgarh,Central,Bilaspur,Raipur,Urban,Tier 1,10659,Grid,7,4.06976759948334,0.004435203562527882
SITE0073,West,Gujarat,Gujarat,Surat,Ahmedabad,Urban,Tier 1,9861,Hybrid,8,3.76507911609956,0.004103156236991035
SITE0074,Central,Madhya Pradesh,Central,Gwalior,Gwalior,Rural,Tier 3,496,DG,4,0.05098700666611153,5.556527444881105e-05
SITE0075,West,Rajasthan,Rajasthan,Udaipur,Jaipur,Semi-Urban,Tier 2,3205,Grid,1,0.6723722694407813,0.0007327464804494712
SITE0076,West,Gujarat,Gujarat,Vadodara,Ahmedabad,Semi-Urban,Tier 3,1685,Hybrid,1,0.2474455824665839,0.00026966442236822186
SITE0077,North,Haryana,Upper North,Panipat,Panipat,Semi-Urban,Tier 2,3851,DG,5,0.807895666026973,0.0008804389067740758
SITE0078,North,Delhi,Delhi NCR,Karol Bagh,Delhi NCR,Urban,Tier 2,5187,Grid,4,1.4146251014246904,0.00154164829713536
SITE0079,East,Bihar,Bihar,Patna,Patna,Urban,Tier 1,9619,Grid,9,3.672679851715005,0.00400246018087585
SITE0080,North,Delhi,Delhi NCR,Dwarka,Delhi NCR,Urban,Tier 1,13783,Grid,1,5.262558103356682,0.005735098105105712
SITE0081,East,Bihar,Bihar,Muzaffarpur,Patna,Rural,Tier 2,1247,DG,7,0.18312441622304462,0.00019956767637577017
SITE0082,West,Gujarat,Gujarat,Surat,Ahmedabad,Semi-Urban,Tier 3,1724,Grid,1,0.253172809597858,0.0002759059134497416
SITE0083,North,Haryana,Upper North,Gurugram,Delhi NCR,Urban,Tier 2,7973,DG,1,2.1744372341737144,0.002369686113950304
SITE0084,North,Haryana,Upper North,Gurugram,Delhi NCR,Urban,Tier 2,6431,Grid,4,1.7538951276773054,0.0019113823402501446
SITE0085,North,Delhi,Delhi NCR,Dwarka,Delhi NCR,Urban,Tier 2,5875,Hybrid,4,1.6022599712492875,0.0017461314335203853
SITE0086,East,Odisha,East,Cuttack,Bhubaneswar,Urban,Tier 3,3117,Grid,7,0.5950588989393737,0.0006484909233698943
SITE0087,West,Maharashtra,Maharashtra,Mumbai,Mumbai,Semi-Urban,Tier 2,2413,DG,9,0.5062197460719517,0.0005516746512713178
SITE0088,West,Maharashtra,Maharashtra,Pune,Mumbai,Semi-Urban,Tier 3,1341,Grid,6,0.1969285021291923,0.00021461127026456113
SITE0089,North,Jammu & Kashmir,Upper North,Jammu,Jammu,Rural,Tier 3,419,Grid,9,0.043071685066735345,4.693921369768514e-05
SITE0090,North,Haryana,Upper North,Faridabad,Delhi NCR,Urban,Tier 2,5902,Grid,9,1.6096235489894972,0.0017541562077680536
SITE0091,West,Maharashtra,Maharashtra,Pune,Mumbai,Urban,Tier 2,5162,Grid,5,1.4078069738874595,0.0015342179506097414
SITE0092,North,Haryana,Upper North,Faridabad,Delhi NCR,Semi-Urban,Tier 2,3974,Grid,8,0.8336996563986474,0.0009085599105479558
SITE0093,Central,Madhya Pradesh,Central,Bhopal,Bhopal,Semi-Urban,Tier 3,1219,Grid,6,0.17901256084674527,0.0001950866058557047
SITE0094,North,Uttarakhand,UP,Haridwar,Dehradun,Semi-Urban,Tier 2,2269,DG,1,0.47601019636852815,0.0005187525005116536
SITE0095,North,Uttarakhand,UP,Dehradun,Dehradun,Semi-Urban,Tier 2,2631,Grid,7,0.5519536477063013,0.0006015151295046985
SITE0096,West,Maharashtra,Maharashtra,Mumbai,Mumbai,Urban,Tier 3,3405,Hybrid,1,0.6500402793996045,0.0007084092377524831
SITE0097,West,Maharashtra,Maharashtra,Pune,Mumbai,Semi-Urban,Tier 2,3871,DG,6,0.8120914368191152,0.0008850114277129181
SITE0098,East,Jharkhand,Bihar,Jamshedpur,Ranchi,Urban,Tier 2,7014,Grid,7,1.9128938618455327,0.002084658021227572
SITE0099,West,Gujarat,Gujarat,Rajkot,Ahmedabad,Urban,Tier 3,4141,Hybrid,1,0.7905482516868613,0.0008615338189524325
SITE0100,North,Haryana,Upper North,Gurugram,Delhi NCR,Urban,Tier 2,5204,Hybrid,2,1.4192614281500076,0.001546700932772781
SITE0101,West,Rajasthan,Rajasthan,Jaipur,Jaipur,Urban,Tier 1,8581,Grid,9,3.276355734230841,0.003570548998034689
SITE0102,North,Haryana,Upper North,Panipat,Panipat,Semi-Urban,Tier 3,1555,Grid,6,0.2283548253623371,0.0002488594520964896
SITE0103,North,Punjab,Upper North,Ludhiana,Ludhiana,Urban,Tier 2,5840,Grid,2,1.5927145926971642,0.0017357289483845193
SITE0104,East,Bihar,Bihar,Muzaffarpur,Patna,Semi-Urban,Tier 2,3836,DG,7,0.8047488379328664,0.0008770095160699441
SITE0105,Central,Uttar Pradesh,UP,Ghaziabad,Delhi NCR,Rural,Tier 2,927,Solar,6,0.1361317833510524,0.00014835544186073688
SITE0106,East,Bihar,Bihar,Muzaffarpur,Patna,Urban,Tier 2,6719,Grid,4,1.8324399569062066,0.0019969799322252717
SITE0107,West,Maharashtra,Maharashtra,Pune,Mumbai,Urban,Tier 2,6642,Hybrid,10,1.8114401240915352,0.001974094464926366
SITE0108,West,Gujarat,Gujarat,Surat,Ahmedabad,Semi-Urban,Tier 2,2595,DG,7,0.5444012602804453,0.0005932845918147823
SITE0109,North,Delhi,Delhi NCR,New Delhi,Delhi NCR,Urban,Tier 3,4797,Grid,4,0.9157836182907205,0.000998014423934996
SITE0110,North,Delhi,Delhi NCR,Rohini,Delhi NCR,Urban,Tier 2,5874,Hybrid,7,1.6019872461477984,0.0017458342196593607
SITE0111,Central,Madhya Pradesh,Central,Indore,Indore,Urban,Tier 1,13560,Grid,9,5.177413326671741,0.005642307937693786
SITE0112,North,Uttarakhand,UP,Haridwar,Dehradun,Urban,Tier 2,7243,Grid,1,1.9753479100865687,0.002152719995402239
SITE0113,Central,Madhya Pradesh,Central,Indore,Indore,Rural,Tier 3,377,DG,1,0.03875423692162106,4.223408965161646e-05
SITE0114,Central,Uttar Pradesh,UP,Noida,Delhi NCR,Rural,Tier 3,616,DG,1,0.06332257279500948,6.900848600900728e-05
SITE0115,North,Delhi,Delhi NCR,Rohini,Delhi NCR,Semi-Urban,Tier 1,6010,DG,7,1.765160772254207,0.001923659558970936
SITE0116,West,Gujarat,Gujarat,Vadodara,Ahmedabad,Rural,Tier 3,206,Grid,6,0.021176055187941484,2.307751317833685e-05
SITE0117,Central,Uttar Pradesh,UP,Ghaziabad,Delhi NCR,Rural,Tier 3,269,DG,6,0.027652227405612906,3.0135199247439865e-05
SITE0118,North,Delhi,Delhi NCR,Karol Bagh,Delhi NCR,Urban,Tier 3,3922,Grid,9,0.7487394936285608,0.000815970934057339
SITE0119,Central,Madhya Pradesh,Central,Gwalior,Gwalior,Rural,Tier 3,665,DG,7,0.06835959563097614,7.44977973960874e-05
SITE0120,West,Gujarat,Gujarat,Surat,Ahmedabad,Semi-Urban,Tier 3,1671,Hybrid,1,0.24538965477843427,0.0002674238871081892
SITE0121,North,Delhi,Delhi NCR,Saket,Delhi NCR,Rural,Tier 2,1459,DG,4,0.21425703550073943,0.00023349578174197965
SITE0122,West,Rajasthan,Rajasthan,Udaipur,Jaipur,Rural,Tier 3,402,DG,4,0.04132414653180813,4.503475872665734e-05
SITE0123,East,Jharkhand,Bihar,Ranchi,Ranchi,Urban,Tier 1,9171,Grid,4,3.5016266680609536,0.003816047647241129
SITE0124,North,Haryana,Upper North,Karnal,Panipat,Urban,Tier 2,6495,Grid,6,1.7713495341726166,0.001930404027355728
SITE0125,Central,Madhya Pradesh,Central,Gwalior,Gwalior,Urban,Tier 2,5943,DG,9,1.620805278150556,0.0017663419760700681
SITE0126,North,Delhi,Delhi NCR,Saket,Delhi NCR,Urban,Tier 1,14342,DG,3,5.475992767782161,0.0059676976727436794
SITE0127,Central,Uttar Pradesh,UP,Ghaziabad,Delhi NCR,Rural,Tier 3,604,DG,5,0.0620890161821197,6.766416485298766e-05
SITE0128,Central,Uttar Pradesh,UP,Noida,Delhi NCR,Rural,Tier 3,625,Grid,7,0.06424774025467683,7.0016726876022e-05
SITE0129,North,Jammu & Kashmir,Upper North,Srinagar,Srinagar,Urban,Tier 2,7539,Hybrid,4,2.056074540127384,0.0022406952982655637
SITE0130,North,Himachal Pradesh,Upper North,Shimla,Shimla,Semi-Urban,Tier 3,1887,Hybrid,1,0.277109681967029,0.00030199214540583663
SITE0131,Central,Uttar Pradesh,UP,Noida,Delhi NCR,Urban,Tier 2,5895,Grid,4,1.6077144732790727,0.0017520757107408805
SITE0132,West,Maharashtra,Maharashtra,Pune,Mumbai,Urban,Tier 2,7189,Grid,1,1.9606207546061498,0.0021366704469069023
SITE0133,Central,Uttar Pradesh,UP,Ghaziabad,Delhi NCR,Urban,Tier 1,13432,Grid,9,5.128540988484868,0.005589047213798152
SITE0134,North,Haryana,Upper North,Panipat,Panipat,Urban,Tier 2,5164,Hybrid,1,1.4083524240904377,0.0015348123783317908
SITE0135,Central,Chhattisgarh,Central,Bilaspur,Raipur,Rural,Tier 2,1013,DG,4,0.1487610534354003,0.0001621187298866521
SITE0136,Central,Uttar Pradesh,UP,Lucknow,Lucknow,Urban,Tier 3,4568,Grid,4,0.8720657845219952,0.0009503710420127292
SITE0137,East,West Bengal,East,Kolkata,Kolkata,Semi-Urban,Tier 2,3105,Grid,10,0.6513934154800705,0.0007098838757552598
SITE0138,North,Haryana,Upper North,Gurugram,Delhi NCR,Semi-Urban,Tier 2,3604,DG,1,0.7560778967440174,0.000823968273179374
SITE0139,West,Rajasthan,Rajasthan,Udaipur,Jaipur,Urban,Tier 2,6753,Grid,1,1.8417126103568409,0.002007085203500113
SITE0140,West,Rajasthan,Rajasthan,Kota,Jaipur,Rural,Tier 3,620,Solar,1,0.06373375833263942,6.945659306101383e-05
SITE0141,North,Uttarakhand,UP,Haldwani,Haldwani,Rural,Tier 2,1004,Grid,1,0.14743938563587553,0.00016067838579091677
SITE0142,West,Maharashtra,Maharashtra,Nashik,Mumbai,Urban,Tier 2,6938,Grid,1,1.8921667541323504,0.002062069767789691
SITE0143,North,Punjab,Upper North,Amritsar,Amritsar,Urban,Tier 2,5370,Hybrid,6,1.4645337949972212,0.0015960384337028884
SITE0144,Central,Uttar Pradesh,UP,Varanasi,Lucknow,Urban,Tier 2,6880,Grid,1,1.8763486982459745,0.002044831363850256
SITE0145,West,Gujarat,Gujarat,Rajkot,Ahmedabad,Urban,Tier 1,12948,Hybrid,1,4.94374245971576,0.0053876551015677844
SITE0146,North,Punjab,Upper North,Ludhiana,Ludhiana,Urban,Tier 3,2883,Grid,8,0.5503865273154361,0.0005998072929340408
SITE0147,Central,Uttar Pradesh,UP,Ghaziabad,Delhi NCR,Semi-Urban,Tier 3,1907,DG,4,0.2800467215215285,0.00030519291006302616
SITE0148,West,Maharashtra,Maharashtra,Pune,Mumbai,Semi-Urban,Tier 2,2444,DG,4,0.512723190799772,0.0005587620587265233
SITE0149,North,Punjab,Upper North,Ludhiana,Ludhiana,Urban,Tier 2,5424,DG,3,1.4792609504776404,0.001612087982198225
SITE0150,East,Bihar,Bihar,Gaya,Patna,Urban,Tier 3,4708,Hybrid,10,0.8987928444679409,0.0009794980003931546
SITE0151,East,Odisha,East,Bhubaneswar,Bhubaneswar,Rural,Tier 3,377,DG,1,0.03875423692162106,4.223408965161646e-05
SITE0152,West,Gujarat,Gujarat,Vadodara,Ahmedabad,Urban,Tier 1,12724,Hybrid,9,4.858215867888734,0.0052944488347504235
SITE0153,North,Haryana,Upper North,Panipat,Panipat,Urban,Tier 2,5894,Hybrid,7,1.6074417481775833,0.0017517784968798557
SITE0154,Central,Uttar Pradesh,UP,Ghaziabad,Delhi NCR,Urban,Tier 2,7537,Grid,1,2.0555290899244056,0.0022401008705435145
SITE0155,West,Maharashtra,Maharashtra,Nashik,Mumbai,Rural,Tier 3,526,DG,10,0.05407089819833602,5.892607733886011e-05
SITE0156,North,Jammu & Kashmir,Upper North,Jammu,Jammu,Urban,Tier 2,5597,DG,3,1.5264423930352788,0.001663505980155506
SITE0157,West,Maharashtra,Maharashtra,Nagpur,Nagpur,Semi-Urban,Tier 3,1288,DG,1,0.18914534730976862,0.0002061292439230088
SITE0158,West,Gujarat,Gujarat,Rajkot,Ahmedabad,Semi-Urban,Tier 3,1592,DG,8,0.23378834853816116,0.0002547808667122903
SITE0159,West,Gujarat,Gujarat,Surat,Ahmedabad,Urban,Tier 2,6687,Grid,7,1.823712753658551,0.0019874690886724795
SITE0160,West,Maharashtra,Maharashtra,Nashik,Mumbai,Semi-Urban,Tier 2,3596,DG,6,0.7543995884271605,0.0008221392648038371
SITE0161,West,Rajasthan,Rajasthan,Jodhpur,Jaipur,Urban,Tier 3,3072,Grid,1,0.5864680582424626,0.0006391286867476147
SITE0162,East,West Bengal,East,Howrah,Kolkata,Semi-Urban,Tier 3,1353,DG,4,0.19869072586189204,0.0002165317290588749
SITE0163,North,Uttarakhand,UP,Dehradun,Dehradun,Semi-Urban,Tier 2,2027,Grid,7,0.425241369783608,0.00046342499715166233
SITE0164,Central,Uttar Pradesh,UP,Varanasi,Lucknow,Semi-Urban,Tier 3,1953,DG,3,0.28680191249687736,0.0003125546687745622
SITE0165,East,West Bengal,East,Durgapur,Kolkata,Urban,Tier 3,4590,DG,3,0.8762657510849294,0.0009549481354725102
SITE0166,West,Maharashtra,Maharashtra,Mumbai,Mumbai,Rural,Tier 3,368,DG,1,0.03782906946195372,4.122584878460175e-05
SITE0167,West,Maharashtra,Maharashtra,Mumbai,Mumbai,Urban,Tier 2,7470,DG,1,2.037256508124626,0.002220187541854856
SITE0168,West,Rajasthan,Rajasthan,Jaipur,Jaipur,Urban,Tier 2,5176,Grid,8,1.4116251253083087,0.0015383789446640878
SITE0169,West,Rajasthan,Rajasthan,Kota,Jaipur,Urban,Tier 1,12624,Hybrid,4,4.82003435368024,0.0052528388942069595
SITE0170,Central,Madhya Pradesh,Central,Gwalior,Gwalior,Semi-Urban,Tier 2,3633,DG,10,0.7621617643926235,0.0008305984285406953
SITE0171,West,Maharashtra,Maharashtra,Mumbai,Mumbai,Semi-Urban,Tier 3,1965,DG,4,0.28856413622957705,0.0003144751275688759
SITE0172,East,Jharkhand,Bihar,Ranchi,Ranchi,Urban,Tier 1,9517,Hybrid,7,3.6337347072223416,0.003960018041521516
SITE0173,North,Punjab,Upper North,Patiala,Ludhiana,Semi-Urban,Tier 2,2197,Hybrid,3,0.46090542151681635,0.0005022914251318215
SITE0174,North,Punjab,Upper North,Jalandhar,Ludhiana,Urban,Tier 2,7657,Grid,4,2.0882561021031143,0.002275766533866484
SITE0175,West,Rajasthan,Rajasthan,Jaipur,Jaipur,Semi-Urban,Tier 2,3600,Grid,1,0.755238742585589,0.0008230537689916057
SITE0176,North,Jammu & Kashmir,Upper North,Srinagar,Srinagar,Urban,Tier 3,3352,Hybrid,4,0.6399221781343538,0.0006973826035084651
SITE0177,North,Delhi,Delhi NCR,Saket,Delhi NCR,Semi-Urban,Tier 2,3540,DG,4,0.7426514302091625,0.0008093362061750788
SITE0178,North,Jammu & Kashmir,Upper North,Jammu,Jammu,Urban,Tier 2,6537,Hybrid,10,1.7828039884351647,0.0019428870095187674
SITE0179,North,Delhi,Delhi NCR,Karol Bagh,Delhi NCR,Rural,Tier 3,221,Solar,6,0.022718000954053727,2.4757914623361376e-05
SITE0180,North,Punjab,Upper North,Amritsar,Amritsar,Urban,Tier 2,6080,Grid,1,1.6581686170545822,0.0018070602750304588
SITE0181,East,Bihar,Bihar,Gaya,Patna,Urban,Tier 1,11137,Hybrid,1,4.25227523739994,0.004634099078325642
SITE0182,North,Delhi,Delhi NCR,New Delhi,Delhi NCR,Urban,Tier 2,7889,Grid,1,2.1515283256486177,0.0023447201496242247
SITE0183,Central,Uttar Pradesh,UP,Noida,Delhi NCR,Rural,Tier 2,797,DG,5,0.11704102624680557,0.00012755047158900465
SITE0184,Central,Uttar Pradesh,UP,Noida,Delhi NCR,Rural,Tier 2,843,DG,7,0.12379621722215445,0.00013491223030054068
SITE0185,East,Odisha,East,Rourkela,Bhubaneswar,Urban,Tier 2,6903,Grid,9,1.882621375580227,0.002051667282653825
SITE0186,North,Punjab,Upper North,Amritsar,Amritsar,Semi-Urban,Tier 2,2434,Grid,1,0.510625305403701,0.0005564757982571022
SITE0187,East,West Bengal,East,Siliguri,Kolkata,Rural,Tier 3,324,DG,4,0.03330602854802447,3.62966712125298e-05
SITE0188,West,Gujarat,Gujarat,Rajkot,Ahmedabad,Semi-Urban,Tier 2,3702,DG,4,0.776637173625514,0.000846373625779701
SITE0189,West,Rajasthan,Rajasthan,Udaipur,Jaipur,Semi-Urban,Tier 2,3109,Grid,6,0.6522325696384988,0.0007107983799430282
SITE0190,West,Rajasthan,Rajasthan,Jaipur,Jaipur,Urban,Tier 2,5587,Grid,5,1.5237151420203865,0.0016605338415452585
SITE0191,Central,Madhya Pradesh,Central,Gwalior,Gwalior,Urban,Tier 1,8343,Grid,7,3.1854837304146266,0.003471517339541244
SITE0192,North,Himachal Pradesh,Upper North,Shimla,Shimla,Rural,Tier 3,694,DG,6,0.07134069077879315,7.774657352313482e-05
SITE0193,Central,Uttar Pradesh,UP,Kanpur,Lucknow,Rural,Tier 2,993,DG,1,0.1458240138809008,0.0001589179652294625
